"key","Genres","IMDbRating","IMDbVotes","MovieDirector","MoviePoster","MoviePosterSrc","MovieTitle","ReleasedYear","Runtime","Seeds","URL","UploadedTime","Uploader","YTSLikes"
"","Action / Documentary","7.4","3606","Maite Alberdi","
            ","https://img.yts.mx/assets/images/movies/the_eternal_memory_2023/medium-cover.jpg","The Eternal Memory","2023 ","1hr24min","null","https://yts.mx/movies/the-eternal-memory-2023","November 20, 2023 at 09:23 AM","FREEMAN","10"
"","Action / Comedy","5.8","5706","Michael Ritchie","
            ","https://img.yts.mx/assets/images/movies/the_couch_trip_1988/medium-cover.jpg","The Couch Trip","1988","1hr38min","null","https://yts.mx/movies/the-couch-trip-1988","February 28, 2021 at 03:35 AM","FREEMAN","7"
"","Action / Comedy","5.2","492","Arantxa Echevarría","
            ","https://img.yts.mx/assets/images/movies/politicamente_incorrectos_2024/medium-cover.jpg","Políticamente incorrectos","2024 ","1hr31min","null","https://yts.mx/movies/politicamente-incorrectos-2024","July 03, 2024 at 05:41 PM","FREEMAN","null"
"","Action / Drama / Fantasy / Sci-Fi","6.3","2265","Tobias Nölle","
            ","https://img.yts.mx/assets/images/movies/aloys_2016/medium-cover.jpg","Aloys","2016 ","1hr30min","null","https://yts.mx/movies/aloys-2016","June 04, 2020 at 08:50 PM","FREEMAN","13"
"","Action / Drama / Sport","5.8","61056","Menahem Golan","
            ","https://img.yts.mx/assets/images/movies/over_the_top_1987/medium-cover.jpg","Over the Top","1987","1hr33min","null","https://yts.mx/movies/over-the-top-1987","May 30, 2023 at 10:03 PM","FREEMAN","53"
"","Action / Drama","4.9","291","Doris Wishman","
            ","https://img.yts.mx/assets/images/movies/another_day_another_man_1966/medium-cover.jpg","Another Day, Another Man","1966","1hr10min","null","https://yts.mx/movies/another-day-another-man-1966","September 13, 2022 at 12:02 AM","FREEMAN","null"
"","Horror / Thriller","7.1","28756","JT Mollner","
            ","https://img.yts.mx/assets/images/movies/strange_darling_2023/medium-cover.jpg","Strange Darling","2023","1hr37min","100+","https://yts.mx/movies/strange-darling-2023","November 07, 2024 at 11:39 AM","FREEMAN","61"
"","Drama / Romance","6.4","74","Brian Brough","
            ","https://img.yts.mx/assets/images/movies/beauty_and_the_billionaire_bali_2024/medium-cover.jpg","Beauty and the Billionaire: Bali","2024","1hr31min","null","https://yts.mx/movies/beauty-and-the-billionaire-bali-2024","November 13, 2024 at 04:35 AM","FREEMAN","5"
"","Fantasy / Horror / Thriller","5.9","2679","Ted Nicolaou","
            ","https://img.yts.mx/assets/images/movies/bloodstone_subspecies_ii_1993/medium-cover.jpg","Bloodstone: Subspecies II","1993","1hr26min","null","https://yts.mx/movies/bloodstone-subspecies-ii-1993","October 26, 2023 at 01:05 AM","FREEMAN","5"
"","Comedy / Horror / Mystery / Thriller","4.1","568","Ryan Coonan","
            ","https://img.yts.mx/assets/images/movies/rippy_2024/medium-cover.jpg","Rippy","2024","1hr23min","100+","https://yts.mx/movies/rippy-2024","November 08, 2024 at 03:36 AM","FREEMAN","12"
